[2025-12-10 23:40:57,423][INFO    ][ghost.trace_var_usage] node: local_14[4],local_14
[2025-12-10 23:40:57,424][INFO    ][ghost.trace_var_usage] 000:ghidra.program.model.pcode.HighSymbol@75ecdfa1,ghidra.program.model.pcode.HighSymbol@75ecdfa1
[2025-12-10 23:40:57,424][INFO    ][ghost.trace_var_usage] 1111:{}
[2025-12-10 23:40:57,424][INFO    ][ghost.is_related] Directly same symbols: local_14 and local_14
[2025-12-10 23:40:57,424][DEBUG   ][ghost.trace_var_usage] Found sym/derived match to local_14 and local_14
[2025-12-10 23:40:57,424][DEBUG   ][ghost.trace_var_usage] 1 matches for trace_var_usage
[2025-12-10 23:40:57,424][INFO    ][ghost.trace_var_usage] same:local_14[4]
[2025-12-10 23:40:57,424][INFO    ][ghost.main] Current Trace Queue (len=3):
[2025-12-10 23:40:57,426][INFO    ][ghost.main]   [0] ParamToArg [Par:0x00010328 strcpy(Param1, Param2) <=> pcVar1[4] | Param1] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_20[12]]
[2025-12-10 23:40:57,427][INFO    ][ghost.main]   [1] VarIsFuncCallOutput [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_14[4]] --> [Out:0x00010484 strtoul(local_c[4], UnnamedArg2, UnnamedArg3) <=> local_10[4] | local_10[4]]
[2025-12-10 23:40:57,427][INFO    ][ghost.main]   [2] ArgToOtherArgs [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_14[4]] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_20[12]]
[2025-12-10 23:40:57,427][INFO    ][ghost.main] Begin Tracing ArgToOtherArgs [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_14[4]] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_20[12]]
[2025-12-10 23:40:57,427][DEBUG   ][ghost.trace_source_all] Arg trace_source_all for local_20[12] of 0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut
[2025-12-10 23:40:57,427][DEBUG   ][ghost.trace_to_func_call_output] Entering loop for getDef to find all corresponding FuncCallOutputs of varnode @ 0x000104b0 in local_20[12] of 0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut
[2025-12-10 23:40:57,427][DEBUG   ][ghost.trace_to_func_call_output] Added varnode 0xNO ADDRESS (register, 0x54, 4) from pcode (register, 0x2c, 4) PTRSUB (register, 0x54, 4) , (const, 0xffffffe0, 4)
[2025-12-10 23:40:57,428][DEBUG   ][ghost.get_instance] Get TRACEINFO: ArgToOtherArgs [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_20[12]] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_14[4]]
